assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
86585436,22693178,Numenius phaeopus,9.8.4,Lagoon,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,13.5,Marine Coastal/Supratidal - Coastal Freshwater Lakes,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,15.8,Artificial/Aquatic - Seasonally Flooded Agricultural Land,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,3.3,Shrubland - Boreal,No,breeding,Suitable
86585436,22693178,Numenius phaeopus,1.1,Forest - Boreal,No,breeding,Suitable
86585436,22693178,Numenius phaeopus,4.1,Grassland - Tundra,No,breeding,Suitable
86585436,22693178,Numenius phaeopus,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,9.8.1,Outer Reef Channel,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,9.8.2,Back Slope,No,non-breeding,Suitable
86585436,22693178,Numenius phaeopus,9.8.3,Foreslope (Outer Reef Slope),No,non-breeding,Suitable
86591264,22693468,Calidris pugnax,12.5,Marine Intertidal - Salt Marshes (Emergent Grasses),No,non-breeding,Suitable
86591264,22693468,Calidris pugnax,9.10,Marine Neritic - Estuaries,No,non-breeding,Suitable
